Team,Round,Km,From,To
Shandong Hi-Speed Kirin,31,2189,Urumqi,Taiyuan
Shandong Hi-Speed Kirin,32,416,Taiyuan,Jinan
Shandong Hi-Speed Kirin,33,0,Jinan,Jinan
Shandong Hi-Speed Kirin,34,864,Jinan,Ningbo
Shandong Hi-Speed Kirin,35,864,Ningbo,Jinan
Shandong Hi-Speed Kirin,36,767,Jinan,Hangzhou
Shandong Hi-Speed Kirin,37,0,Hangzhou,Hangzhou
Shandong Hi-Speed Kirin,38,767,Hangzhou,Jinan
Shandong Hi-Speed Kirin,39,365,Jinan,Beijing
Shandong Hi-Speed Kirin,40,365,Beijing,Jinan
Shandong Hi-Speed Kirin,41,1594,Jinan,Shenzhen
Shandong Hi-Speed Kirin,42,1594,Shenzhen,Jinan
Shanghai Sharks,1,0,Shanghai,Shanghai
Shanghai Sharks,2,270,Shanghai,Nanjing
Shanghai Sharks,3,189,Nanjing,Suzhou
Shanghai Sharks,4,121,Suzhou,Hangzhou
Shanghai Sharks,5,165,Hangzhou,Shanghai
Shanghai Sharks,6,0,Shanghai,Shanghai
Shanghai Sharks,7,0,Shanghai,Shanghai
Shanghai Sharks,8,1067,Shanghai,Beijing
Shanghai Sharks,9,627,Beijing,Shenyang
Shanghai Sharks,10,1189,Shenyang,Shanghai
Shanghai Sharks,11,0,Shanghai,Shanghai
Shanghai Sharks,12,547,Shanghai,Qingdao
Shanghai Sharks,13,547,Qingdao,Shanghai
Shanghai Sharks,14,1213,Shanghai,Shenzhen
Shanghai Sharks,15,62,Shenzhen,Dongguan
Shanghai Sharks,16,1190,Dongguan,Shanghai
Shanghai Sharks,17,0,Shanghai,Shanghai
Shanghai Sharks,18,772,Shanghai,Jinjiang
Shanghai Sharks,19,631,Jinjiang,Hangzhou
Shanghai Sharks,20,165,Hangzhou,Shanghai
Shanghai Sharks,21,0,Shanghai,Shanghai
Shanghai Sharks,22,0,Shanghai,Shanghai
Shanghai Sharks,23,1190,Shanghai,Dongguan
Shanghai Sharks,24,1190,Dongguan,Shanghai
Shanghai Sharks,25,1661,Shanghai,Chengdu
Shanghai Sharks,26,1661,Chengdu,Shanghai
Shanghai Sharks,27,0,Shanghai,Shanghai
Shanghai Sharks,28,0,Shanghai,Shanghai
Shanghai Sharks,29,0,Shanghai,Shanghai
Shanghai Sharks,30,1100,Shanghai,Taiyuan
Shanghai Sharks,31,449,Taiyuan,Tianjin
Shanghai Sharks,32,449,Tianjin,Taiyuan
Shanghai Sharks,33,1260,Taiyuan,Changchun
Shanghai Sharks,34,1440,Changchun,Shanghai
Shanghai Sharks,35,0,Shanghai,Shanghai
Shanghai Sharks,36,152,Shanghai,Ningbo
Shanghai Sharks,37,152,Ningbo,Shanghai
Shanghai Sharks,38,1067,Shanghai,Beijing
Shanghai Sharks,39,1889,Beijing,Guangzhou
Shanghai Sharks,40,3284,Guangzhou,Urumqi
Shanghai Sharks,41,3268,Urumqi,Shanghai
Shanghai Sharks,42,730,Shanghai,Jinan
Shanxi Loongs,1,1097,Taiyuan,Hangzhou
Shanxi Loongs,2,1097,Hangzhou,Taiyuan
Shanxi Loongs,3,0,Taiyuan,Taiyuan
Shanxi Loongs,4,449,Taiyuan,Tianjin
Shanxi Loongs,5,820,Tianjin,Nanjing
Shanxi Loongs,6,469,Nanjing,Qingdao
Shanxi Loongs,7,724,Qingdao,Taiyuan
Shanxi Loongs,8,416,Taiyuan,Jinan
Shanxi Loongs,9,416,Jinan,Taiyuan
Shanxi Loongs,10,0,Taiyuan,Taiyuan
Shanxi Loongs,11,0,Taiyuan,Taiyuan
Shanxi Loongs,12,0,Taiyuan,Taiyuan
Shanxi Loongs,13,1100,Taiyuan,Shanghai
Shanxi Loongs,14,152,Shanghai,Ningbo
Shanxi Loongs,15,1210,Ningbo,Beijing
Shanxi Loongs,16,403,Beijing,Taiyuan
Shanxi Loongs,17,0,Taiyuan,Taiyuan
Shanxi Loongs,18,1710,Taiyuan,Shenzhen
Shanxi Loongs,19,62,Shenzhen,Dongguan
Shanxi Loongs,20,1655,Dongguan,Taiyuan
Shanxi Loongs,21,1097,Taiyuan,Hangzhou
Shanxi Loongs,22,1573,Hangzhou,Changchun
Shanxi Loongs,23,2378,Changchun,Chengdu
Shanxi Loongs,24,1124,Chengdu,Taiyuan
Shanxi Loongs,25,1026,Taiyuan,Shenyang
Shanxi Loongs,26,272,Shenyang,Changchun
Shanxi Loongs,27,1260,Changchun,Taiyuan
Shanxi Loongs,28,1562,Taiyuan,Jinjiang
Shanxi Loongs,29,568,Jinjiang,Guangzhou
Shanxi Loongs,30,1641,Guangzhou,Taiyuan
Shanxi Loongs,31,0,Taiyuan,Taiyuan
Shanxi Loongs,32,0,Taiyuan,Taiyuan
Shanxi Loongs,33,1124,Taiyuan,Chengdu
Shanxi Loongs,34,2065,Chengdu,Urumqi
Shanxi Loongs,35,2189,Urumqi,Taiyuan
Shanxi Loongs,36,0,Taiyuan,Taiyuan
Shanxi Loongs,37,0,Taiyuan,Taiyuan
Shanxi Loongs,38,403,Taiyuan,Beijing
Shanxi Loongs,39,403,Beijing,Taiyuan
Shanxi Loongs,40,1036,Taiyuan,Suzhou
Shanxi Loongs,41,1036,Suzhou,Taiyuan
Shanxi Loongs,42,0,Taiyuan,Taiyuan
Shenzhen Leopards,1,0,Shenzhen,Shenzhen
Shenzhen Leopards,2,0,Shenzhen,Shenzhen
Shenzhen Leopards,3,1104,Shenzhen,Ningbo
Shenzhen Leopards,4,1210,Ningbo,Beijing
Shenzhen Leopards,5,365,Beijing,Jinan
Shenzhen Leopards,6,1594,Jinan,Shenzhen
Shenzhen Leopards,7,1052,Shenzhen,Hangzhou
Shenzhen Leopards,8,1052,Hangzhou,Shenzhen
Shenzhen Leopards,9,0,Shenzhen,Shenzhen
Shenzhen Leopards,10,0,Shenzhen,Shenzhen
Shenzhen Leopards,11,1623,Shenzhen,Qingdao
Shenzhen Leopards,12,1585,Qingdao,Dongguan
Shenzhen Leopards,13,62,Dongguan,Shenzhen
Shenzhen Leopards,14,0,Shenzhen,Shenzhen
Shenzhen Leopards,15,1157,Shenzhen,Nanjing
Shenzhen Leopards,16,1159,Nanjing,Shenyang
Shenzhen Leopards,17,1315,Shenyang,Hangzhou
Shenzhen Leopards,18,1052,Hangzhou,Shenzhen
Shenzhen Leopards,19,0,Shenzhen,Shenzhen
Shenzhen Leopards,20,0,Shenzhen,Shenzhen
Shenzhen Leopards,21,1213,Shenzhen,Shanghai
Shenzhen Leopards,22,85,Shanghai,Suzhou
Shenzhen Leopards,23,189,Suzhou,Nanjing
Shenzhen Leopards,24,1157,Nanjing,Shenzhen
Shenzhen Leopards,25,0,Shenzhen,Shenzhen
Shenzhen Leopards,26,0,Shenzhen,Shenzhen
Shenzhen Leopards,27,1894,Shenzhen,Tianjin
Shenzhen Leopards,28,1894,Tianjin,Shenzhen
Shenzhen Leopards,29,0,Shenzhen,Shenzhen
Shenzhen Leopards,30,0,Shenzhen,Shenzhen
Shenzhen Leopards,31,521,Shenzhen,Jinjiang
Shenzhen Leopards,32,2204,Jinjiang,Changchun
Shenzhen Leopards,33,2582,Changchun,Shenzhen
Shenzhen Leopards,34,1943,Shenzhen,Beijing
Shenzhen Leopards,35,2411,Beijing,Urumqi
Shenzhen Leopards,36,2189,Urumqi,Taiyuan
Shenzhen Leopards,37,1710,Taiyuan,Shenzhen
Shenzhen Leopards,38,1335,Shenzhen,Chengdu
Shenzhen Leopards,39,2065,Chengdu,Urumqi
Shenzhen Leopards,40,3386,Urumqi,Shenzhen
Shenzhen Leopards,41,0,Shenzhen,Shenzhen
Shenzhen Leopards,42,104,Shenzhen,Guangzhou
Sichuan Blue Whales,1,0,Chengdu,Chengdu
Sichuan Blue Whales,2,1632,Chengdu,Qingdao
Sichuan Blue Whales,3,310,Qingdao,Jinan
Sichuan Blue Whales,4,1373,Jinan,Chengdu
Sichuan Blue Whales,5,0,Chengdu,Chengdu
Sichuan Blue Whales,6,1335,Chengdu,Shenzhen
Sichuan Blue Whales,7,1213,Shenzhen,Shanghai
Sichuan Blue Whales,8,152,Shanghai,Ningbo
Sichuan Blue Whales,9,1679,Ningbo,Chengdu
Sichuan Blue Whales,10,0,Chengdu,Chengdu
Sichuan Blue Whales,11,1124,Chengdu,Taiyuan
Sichuan Blue Whales,12,1124,Taiyuan,Chengdu
Sichuan Blue Whales,13,1231,Chengdu,Guangzhou
Sichuan Blue Whales,14,1048,Guangzhou,Hangzhou
Sichuan Blue Whales,15,0,Hangzhou,Hangzhou
Sichuan Blue Whales,16,1542,Hangzhou,Chengdu
Sichuan Blue Whales,17,0,Chengdu,Chengdu
Sichuan Blue Whales,18,2065,Chengdu,Urumqi
Sichuan Blue Whales,19,3509,Urumqi,Jinjiang
Sichuan Blue Whales,20,1563,Jinjiang,Chengdu
Sichuan Blue Whales,21,1408,Chengdu,Nanjing
Sichuan Blue Whales,22,1408,Nanjing,Chengdu
Sichuan Blue Whales,23,0,Chengdu,Chengdu
Sichuan Blue Whales,24,1525,Chengdu,Beijing
Sichuan Blue Whales,25,1525,Beijing,Chengdu
Sichuan Blue Whales,26,0,Chengdu,Chengdu
Sichuan Blue Whales,27,0,Chengdu,Chengdu
Sichuan Blue Whales,28,1661,Chengdu,Shanghai
Sichuan Blue Whales,29,1661,Shanghai,Chengdu
Sichuan Blue Whales,30,1275,Chengdu,Dongguan
Sichuan Blue Whales,31,1275,Dongguan,Chengdu
Sichuan Blue Whales,32,0,Chengdu,Chengdu
Sichuan Blue Whales,33,0,Chengdu,Chengdu
Sichuan Blue Whales,34,2378,Chengdu,Changchun
Sichuan Blue Whales,35,272,Changchun,Shenyang
Sichuan Blue Whales,36,272,Shenyang,Changchun
Sichuan Blue Whales,37,2378,Changchun,Chengdu
Sichuan Blue Whales,38,0,Chengdu,Chengdu
Sichuan Blue Whales,39,1552,Chengdu,Tianjin
Sichuan Blue Whales,40,103,Tianjin,Beijing
Sichuan Blue Whales,41,1028,Beijing,Suzhou
Sichuan Blue Whales,42,1576,Suzhou,Chengdu
Tianjin Pioneers,1,0,Tianjin,Tianjin
Tianjin Pioneers,2,103,Tianjin,Beijing
Tianjin Pioneers,3,856,Beijing,Changchun
Tianjin Pioneers,4,828,Changchun,Tianjin
Tianjin Pioneers,5,0,Tianjin,Tianjin
Tianjin Pioneers,6,820,Tianjin,Nanjing
Tianjin Pioneers,7,358,Nanjing,Ningbo
Tianjin Pioneers,8,1121,Ningbo,Tianjin
Tianjin Pioneers,9,0,Tianjin,Tianjin
Tianjin Pioneers,10,0,Tianjin,Tianjin
Tianjin Pioneers,11,0,Tianjin,Tianjin
Tianjin Pioneers,12,449,Tianjin,Taiyuan
Tianjin Pioneers,13,1562,Taiyuan,Jinjiang
Tianjin Pioneers,14,568,Jinjiang,Guangzhou
Tianjin Pioneers,15,1844,Guangzhou,Tianjin
Tianjin Pioneers,16,0,Tianjin,Tianjin
Tianjin Pioneers,17,0,Tianjin,Tianjin
Tianjin Pioneers,18,941,Tianjin,Suzhou
Tianjin Pioneers,19,941,Suzhou,Tianjin
Tianjin Pioneers,20,1847,Tianjin,Dongguan
Tianjin Pioneers,21,1847,Dongguan,Tianjin
Tianjin Pioneers,22,581,Tianjin,Shenyang
Tianjin Pioneers,23,581,Shenyang,Tianjin
Tianjin Pioneers,24,0,Tianjin,Tianjin
Tianjin Pioneers,25,103,Tianjin,Beijing
Tianjin Pioneers,26,0,Beijing,Beijing
Tianjin Pioneers,27,103,Beijing,Tianjin
Tianjin Pioneers,28,301,Tianjin,Jinan
Tianjin Pioneers,29,1594,Jinan,Shenzhen
Tianjin Pioneers,30,1894,Shenzhen,Tianjin
Tianjin Pioneers,31,0,Tianjin,Tianjin
Tianjin Pioneers,32,301,Tianjin,Jinan
Tianjin Pioneers,33,310,Jinan,Qingdao
Tianjin Pioneers,34,547,Qingdao,Shanghai
Tianjin Pioneers,35,976,Shanghai,Tianjin
Tianjin Pioneers,36,2509,Tianjin,Urumqi
Tianjin Pioneers,37,2065,Urumqi,Chengdu
Tianjin Pioneers,38,1552,Chengdu,Tianjin
Tianjin Pioneers,39,0,Tianjin,Tianjin
Tianjin Pioneers,40,0,Tianjin,Tianjin
Tianjin Pioneers,41,1040,Tianjin,Hangzhou
Tianjin Pioneers,42,0,Hangzhou,Hangzhou
Xinjiang Flying Tigers,1,0,Urumqi,Urumqi
Xinjiang Flying Tigers,2,2411,Urumqi,Beijing
Xinjiang Flying Tigers,3,0,Beijing,Beijing
Xinjiang Flying Tigers,4,856,Beijing,Changchun
Xinjiang Flying Tigers,5,2998,Changchun,Urumqi
Xinjiang Flying Tigers,6,0,Urumqi,Urumqi
Xinjiang Flying Tigers,7,3228,Urumqi,Hangzhou
Xinjiang Flying Tigers,8,3228,Hangzhou,Urumqi
Xinjiang Flying Tigers,9,2603,Urumqi,Jinan
Xinjiang Flying Tigers,10,1328,Jinan,Jinjiang
Xinjiang Flying Tigers,11,568,Jinjiang,Guangzhou
Xinjiang Flying Tigers,12,1048,Guangzhou,Hangzhou
Xinjiang Flying Tigers,13,3228,Hangzhou,Urumqi
Xinjiang Flying Tigers,14,0,Urumqi,Urumqi
Xinjiang Flying Tigers,15,2907,Urumqi,Shenyang
Xinjiang Flying Tigers,16,1189,Shenyang,Shanghai
Xinjiang Flying Tigers,17,85,Shanghai,Suzhou
Xinjiang Flying Tigers,18,3194,Suzhou,Urumqi
Xinjiang Flying Tigers,19,0,Urumqi,Urumqi
Xinjiang Flying Tigers,20,3007,Urumqi,Nanjing
Xinjiang Flying Tigers,21,189,Nanjing,Suzhou
Xinjiang Flying Tigers,22,1576,Suzhou,Chengdu
Xinjiang Flying Tigers,23,2065,Chengdu,Urumqi
Xinjiang Flying Tigers,24,0,Urumqi,Urumqi
Xinjiang Flying Tigers,25,0,Urumqi,Urumqi
Xinjiang Flying Tigers,26,0,Urumqi,Urumqi
Xinjiang Flying Tigers,27,3325,Urumqi,Dongguan
Xinjiang Flying Tigers,28,62,Dongguan,Shenzhen
Xinjiang Flying Tigers,29,1104,Shenzhen,Ningbo
Xinjiang Flying Tigers,30,3362,Ningbo,Urumqi
Xinjiang Flying Tigers,31,0,Urumqi,Urumqi
Xinjiang Flying Tigers,32,0,Urumqi,Urumqi
Xinjiang Flying Tigers,33,2907,Urumqi,Shenyang
Xinjiang Flying Tigers,34,2907,Shenyang,Urumqi
Xinjiang Flying Tigers,35,0,Urumqi,Urumqi
Xinjiang Flying Tigers,36,0,Urumqi,Urumqi
Xinjiang Flying Tigers,37,2189,Urumqi,Taiyuan
Xinjiang Flying Tigers,38,449,Taiyuan,Tianjin
Xinjiang Flying Tigers,39,2509,Tianjin,Urumqi
Xinjiang Flying Tigers,40,0,Urumqi,Urumqi
Xinjiang Flying Tigers,41,0,Urumqi,Urumqi
Xinjiang Flying Tigers,42,2902,Urumqi,Qingdao
Zhejiang Golden Bulls,1,0,Hangzhou,Hangzhou
Zhejiang Golden Bulls,2,0,Hangzhou,Hangzhou
Zhejiang Golden Bulls,3,1097,Hangzhou,Taiyuan
Zhejiang Golden Bulls,4,1097,Taiyuan,Hangzhou
Zhejiang Golden Bulls,5,165,Hangzhou,Shanghai
Zhejiang Golden Bulls,6,152,Shanghai,Ningbo
Zhejiang Golden Bulls,7,141,Ningbo,Hangzhou
Zhejiang Golden Bulls,8,0,Hangzhou,Hangzhou
Zhejiang Golden Bulls,9,0,Hangzhou,Hangzhou
Zhejiang Golden Bulls,10,1052,Hangzhou,Shenzhen
Zhejiang Golden Bulls,11,62,Shenzhen,Dongguan
Zhejiang Golden Bulls,12,51,Dongguan,Guangzhou
Zhejiang Golden Bulls,13,1048,Guangzhou,Hangzhou
Zhejiang Golden Bulls,14,0,Hangzhou,Hangzhou
Zhejiang Golden Bulls,15,0,Hangzhou,Hangzhou
Zhejiang Golden Bulls,16,644,Hangzhou,Qingdao
Zhejiang Golden Bulls,17,644,Qingdao,Hangzhou
Zhejiang Golden Bulls,18,1123,Hangzhou,Beijing
Zhejiang Golden Bulls,19,1123,Beijing,Hangzhou
Zhejiang Golden Bulls,20,0,Hangzhou,Hangzhou
Zhejiang Golden Bulls,21,0,Hangzhou,Hangzhou
Zhejiang Golden Bulls,22,0,Hangzhou,Hangzhou
Zhejiang Golden Bulls,23,3228,Hangzhou,Urumqi
Zhejiang Golden Bulls,24,2509,Urumqi,Tianjin
Zhejiang Golden Bulls,25,1040,Tianjin,Hangzhou
Zhejiang Golden Bulls,26,767,Hangzhou,Jinan
Zhejiang Golden Bulls,27,536,Jinan,Nanjing
Zhejiang Golden Bulls,28,237,Nanjing,Hangzhou
Zhejiang Golden Bulls,29,1123,Hangzhou,Beijing
Zhejiang Golden Bulls,30,0,Beijing,Beijing
Zhejiang Golden Bulls,31,551,Beijing,Qingdao
Zhejiang Golden Bulls,32,644,Qingdao,Hangzhou
Zhejiang Golden Bulls,33,0,Hangzhou,Hangzhou
Zhejiang Golden Bulls,34,0,Hangzhou,Hangzhou
Zhejiang Golden Bulls,35,0,Hangzhou,Hangzhou
Zhejiang Golden Bulls,36,121,Hangzhou,Suzhou
Zhejiang Golden Bulls,37,121,Suzhou,Hangzhou
Zhejiang Golden Bulls,38,631,Hangzhou,Jinjiang
Zhejiang Golden Bulls,39,2204,Jinjiang,Changchun
Zhejiang Golden Bulls,40,272,Changchun,Shenyang
Zhejiang Golden Bulls,41,1315,Shenyang,Hangzhou
Zhejiang Golden Bulls,42,1542,Hangzhou,Chengdu
Zhejiang Guangsha Lions,1,0,Hangzhou,Hangzhou
Zhejiang Guangsha Lions,2,1315,Hangzhou,Shenyang
Zhejiang Guangsha Lions,3,1946,Shenyang,Jinjiang
Zhejiang Guangsha Lions,4,631,Jinjiang,Hangzhou
Zhejiang Guangsha Lions,5,0,Hangzhou,Hangzhou
Zhejiang Guangsha Lions,6,0,Hangzhou,Hangzhou
Zhejiang Guangsha Lions,7,0,Hangzhou,Hangzhou
Zhejiang Guangsha Lions,8,1123,Hangzhou,Beijing
Zhejiang Guangsha Lions,9,103,Beijing,Tianjin
Zhejiang Guangsha Lions,10,1040,Tianjin,Hangzhou
Zhejiang Guangsha Lions,11,165,Hangzhou,Shanghai
Zhejiang Guangsha Lions,12,165,Shanghai,Hangzhou
Zhejiang Guangsha Lions,13,141,Hangzhou,Ningbo
Zhejiang Guangsha Lions,14,3362,Ningbo,Urumqi
Zhejiang Guangsha Lions,15,3228,Urumqi,Hangzhou
Zhejiang Guangsha Lions,16,0,Hangzhou,Hangzhou
Zhejiang Guangsha Lions,17,0,Hangzhou,Hangzhou
Zhejiang Guangsha Lions,18,1123,Hangzhou,Beijing
Zhejiang Guangsha Lions,19,365,Beijing,Jinan
Zhejiang Guangsha Lions,20,310,Jinan,Qingdao
Zhejiang Guangsha Lions,21,644,Qingdao,Hangzhou
Zhejiang Guangsha Lions,22,0,Hangzhou,Hangzhou
Zhejiang Guangsha Lions,23,1573,Hangzhou,Changchun
Zhejiang Guangsha Lions,24,1573,Changchun,Hangzhou
Zhejiang Guangsha Lions,25,0,Hangzhou,Hangzhou
Zhejiang Guangsha Lions,26,0,Hangzhou,Hangzhou
Zhejiang Guangsha Lions,27,0,Hangzhou,Hangzhou
Zhejiang Guangsha Lions,28,0,Hangzhou,Hangzhou
Zhejiang Guangsha Lions,29,121,Hangzhou,Suzhou
Zhejiang Guangsha Lions,30,941,Suzhou,Tianjin
Zhejiang Guangsha Lions,31,1552,Tianjin,Chengdu
Zhejiang Guangsha Lions,32,1542,Chengdu,Hangzhou
Zhejiang Guangsha Lions,33,1052,Hangzhou,Shenzhen
Zhejiang Guangsha Lions,34,62,Shenzhen,Dongguan
Zhejiang Guangsha Lions,35,51,Dongguan,Guangzhou
Zhejiang Guangsha Lions,36,1048,Guangzhou,Hangzhou
Zhejiang Guangsha Lions,37,141,Hangzhou,Ningbo
Zhejiang Guangsha Lions,38,141,Ningbo,Hangzhou
Zhejiang Guangsha Lions,39,1097,Hangzhou,Taiyuan
Zhejiang Guangsha Lions,40,861,Taiyuan,Nanjing
Zhejiang Guangsha Lions,41,237,Nanjing,Hangzhou
Zhejiang Guangsha Lions,42,0,Hangzhou,Hangzhou
