Team,Round,Km,From,To
Guangdong Southern Tigers,5,1124,Chengdu,Taiyuan
Jiangsu Dragons,5,0,Suzhou,Suzhou
Nanjing Monkey Kings,5,752,Jinjiang,Suzhou
Guangdong Southern Tigers,6,1655,Taiyuan,Dongguan
Jilin Northeast Tigers,6,51,Guangzhou,Dongguan
Tianjin Pioneers,6,0,Tianjin,Tianjin
Beijing Ducks,6,1623,Jinjiang,Tianjin
Ningbo Rockets,6,1121,Tianjin,Ningbo
Liaoning Flying Leopards,6,1210,Beijing,Ningbo
Jiangsu Dragons,6,0,Suzhou,Suzhou
Xinjiang Flying Tigers,6,121,Hangzhou,Suzhou
Zhejiang Golden Bulls,6,0,Hangzhou,Hangzhou
Shanxi Loongs,6,1097,Taiyuan,Hangzhou
Zhejiang Guangsha Lions,6,0,Hangzhou,Hangzhou
Shandong Hi-Speed Kirin,6,644,Qingdao,Hangzhou
Nanjing Monkey Kings,6,189,Suzhou,Nanjing
Sichuan Blue Whales,6,270,Shanghai,Nanjing
Shanghai Sharks,6,0,Shanghai,Shanghai
Shenzhen Leopards,6,165,Hangzhou,Shanghai
Fujian Sturgeons,6,0,Jinjiang,Jinjiang
Guangzhou Loong Lions,6,568,Guangzhou,Jinjiang
Qingdao Eagles,6,0,Qingdao,Qingdao
Beijing Royal Fighters,6,551,Beijing,Qingdao
Ningbo Rockets,7,0,Ningbo,Ningbo
Zhejiang Guangsha Lions,7,141,Hangzhou,Ningbo
Beijing Royal Fighters,7,551,Qingdao,Beijing
Beijing Ducks,7,103,Tianjin,Beijing
Guangdong Southern Tigers,7,0,Dongguan,Dongguan
Jilin Northeast Tigers,7,0,Dongguan,Dongguan
Qingdao Eagles,7,0,Qingdao,Qingdao
Liaoning Flying Leopards,7,698,Ningbo,Qingdao
Nanjing Monkey Kings,7,0,Nanjing,Nanjing
Guangzhou Loong Lions,7,810,Jinjiang,Nanjing
Shanxi Loongs,7,1097,Hangzhou,Taiyuan
Xinjiang Flying Tigers,7,1036,Suzhou,Taiyuan
Shenzhen Leopards,7,1213,Shanghai,Shenzhen
Jiangsu Dragons,7,1168,Suzhou,Shenzhen
Sichuan Blue Whales,7,1408,Nanjing,Chengdu
Tianjin Pioneers,7,1552,Tianjin,Chengdu
Zhejiang Golden Bulls,7,0,Hangzhou,Hangzhou
Shandong Hi-Speed Kirin,7,0,Hangzhou,Hangzhou
Shanghai Sharks,7,0,Shanghai,Shanghai
Fujian Sturgeons,7,772,Jinjiang,Shanghai
Liaoning Flying Leopards,8,690,Qingdao,Shenyang
Zhejiang Guangsha Lions,8,1338,Ningbo,Shenyang
Beijing Ducks,8,0,Beijing,Beijing
Xinjiang Flying Tigers,8,403,Taiyuan,Beijing
Fujian Sturgeons,8,772,Shanghai,Jinjiang
Jiangsu Dragons,8,521,Shenzhen,Jinjiang
Beijing Royal Fighters,8,0,Beijing,Beijing
Tianjin Pioneers,8,1525,Chengdu,Beijing
Shenzhen Leopards,8,0,Shenzhen,Shenzhen
Jilin Northeast Tigers,8,62,Dongguan,Shenzhen
Zhejiang Golden Bulls,8,0,Hangzhou,Hangzhou
Guangdong Southern Tigers,8,1027,Dongguan,Hangzhou
Shandong Hi-Speed Kirin,8,767,Hangzhou,Jinan
Guangzhou Loong Lions,8,536,Nanjing,Jinan
Sichuan Blue Whales,8,0,Chengdu,Chengdu
Qingdao Eagles,8,1632,Qingdao,Chengdu
Ningbo Rockets,8,0,Ningbo,Ningbo
Shanxi Loongs,8,1216,Taiyuan,Ningbo
Nanjing Monkey Kings,8,0,Nanjing,Nanjing
Shanghai Sharks,8,270,Shanghai,Nanjing
Jiangsu Dragons,9,752,Jinjiang,Suzhou
Guangdong Southern Tigers,9,121,Hangzhou,Suzhou
Shenzhen Leopards,9,0,Shenzhen,Shenzhen
Xinjiang Flying Tigers,9,1943,Beijing,Shenzhen
Ningbo Rockets,9,0,Ningbo,Ningbo
Guangzhou Loong Lions,9,864,Jinan,Ningbo
Fujian Sturgeons,9,0,Jinjiang,Jinjiang
Shanxi Loongs,9,638,Ningbo,Jinjiang
Liaoning Flying Leopards,9,0,Shenyang,Shenyang
Beijing Ducks,9,627,Beijing,Shenyang
Nanjing Monkey Kings,9,0,Nanjing,Nanjing
Qingdao Eagles,9,1408,Chengdu,Nanjing
Zhejiang Golden Bulls,9,0,Hangzhou,Hangzhou
Jilin Northeast Tigers,9,1052,Shenzhen,Hangzhou
Tianjin Pioneers,9,103,Beijing,Tianjin
Shandong Hi-Speed Kirin,9,301,Jinan,Tianjin
Sichuan Blue Whales,9,0,Chengdu,Chengdu
Shanghai Sharks,9,1408,Nanjing,Chengdu
Beijing Royal Fighters,9,0,Beijing,Beijing
Zhejiang Guangsha Lions,9,627,Shenyang,Beijing
Liaoning Flying Leopards,10,0,Shenyang,Shenyang
Shanghai Sharks,10,2132,Chengdu,Shenyang
Shenzhen Leopards,10,0,Shenzhen,Shenzhen
Beijing Royal Fighters,10,1943,Beijing,Shenzhen
Beijing Ducks,10,627,Shenyang,Beijing
Guangdong Southern Tigers,10,1028,Suzhou,Beijing
Tianjin Pioneers,10,0,Tianjin,Tianjin
Zhejiang Guangsha Lions,10,103,Beijing,Tianjin
Zhejiang Golden Bulls,10,0,Hangzhou,Hangzhou
Qingdao Eagles,10,237,Nanjing,Hangzhou
Nanjing Monkey Kings,10,0,Nanjing,Nanjing
Jilin Northeast Tigers,10,237,Hangzhou,Nanjing
Shandong Hi-Speed Kirin,10,301,Tianjin,Jinan
Xinjiang Flying Tigers,10,1594,Shenzhen,Jinan
Shanxi Loongs,10,1562,Jinjiang,Taiyuan
Guangzhou Loong Lions,10,1216,Ningbo,Taiyuan
Fujian Sturgeons,10,0,Jinjiang,Jinjiang
Sichuan Blue Whales,10,1563,Chengdu,Jinjiang
Ningbo Rockets,10,0,Ningbo,Ningbo
Jiangsu Dragons,10,184,Suzhou,Ningbo
Shanghai Sharks,11,1189,Shenyang,Shanghai
Ningbo Rockets,11,152,Ningbo,Shanghai
Zhejiang Guangsha Lions,11,1040,Tianjin,Hangzhou
Beijing Ducks,11,1123,Beijing,Hangzhou
Fujian Sturgeons,11,0,Jinjiang,Jinjiang
Xinjiang Flying Tigers,11,1328,Jinan,Jinjiang
Liaoning Flying Leopards,11,0,Shenyang,Shenyang
Jilin Northeast Tigers,11,1159,Nanjing,Shenyang
Shanxi Loongs,11,0,Taiyuan,Taiyuan
Jiangsu Dragons,11,1216,Ningbo,Taiyuan
