Team,Round,Km,From,To
Zhejiang Guangsha Lions,25,0,Hangzhou,Hangzhou
Beijing Royal Fighters,25,1573,Changchun,Hangzhou
Shenzhen Leopards,25,0,Shenzhen,Shenzhen
Shandong Hi-Speed Kirin,25,62,Dongguan,Shenzhen
Xinjiang Flying Tigers,25,0,Urumqi,Urumqi
Nanjing Monkey Kings,25,2509,Tianjin,Urumqi
Ningbo Rockets,25,141,Hangzhou,Ningbo
Jilin Northeast Tigers,25,1587,Changchun,Ningbo
Guangzhou Loong Lions,25,0,Guangzhou,Guangzhou
Fujian Sturgeons,25,0,Guangzhou,Guangzhou
Jiangsu Dragons,25,85,Shanghai,Suzhou
Sichuan Blue Whales,25,1168,Shenzhen,Suzhou
Shanghai Sharks,25,0,Shanghai,Shanghai
Liaoning Flying Leopards,25,165,Hangzhou,Shanghai
Zhejiang Golden Bulls,25,0,Hangzhou,Hangzhou
Tianjin Pioneers,25,1040,Tianjin,Hangzhou
Guangdong Southern Tigers,25,0,Dongguan,Dongguan
Shanxi Loongs,25,1585,Qingdao,Dongguan
Beijing Ducks,25,2411,Urumqi,Beijing
Qingdao Eagles,25,551,Qingdao,Beijing
Guangdong Southern Tigers,26,0,Dongguan,Dongguan
Beijing Ducks,26,1894,Beijing,Dongguan
Jiangsu Dragons,26,0,Suzhou,Suzhou
Jilin Northeast Tigers,26,184,Ningbo,Suzhou
Guangzhou Loong Lions,26,0,Guangzhou,Guangzhou
Liaoning Flying Leopards,26,1212,Shanghai,Guangzhou
Qingdao Eagles,26,551,Beijing,Qingdao
Zhejiang Golden Bulls,26,644,Hangzhou,Qingdao
Xinjiang Flying Tigers,26,0,Urumqi,Urumqi
Nanjing Monkey Kings,26,0,Urumqi,Urumqi
Ningbo Rockets,26,0,Ningbo,Ningbo
Beijing Royal Fighters,26,141,Hangzhou,Ningbo
Zhejiang Guangsha Lions,26,0,Hangzhou,Hangzhou
Sichuan Blue Whales,26,121,Suzhou,Hangzhou
Shenzhen Leopards,26,0,Shenzhen,Shenzhen
Fujian Sturgeons,26,104,Guangzhou,Shenzhen
Shandong Hi-Speed Kirin,26,1594,Shenzhen,Jinan
Shanxi Loongs,26,1547,Dongguan,Jinan
Shanghai Sharks,26,0,Shanghai,Shanghai
Tianjin Pioneers,26,165,Hangzhou,Shanghai
Liaoning Flying Leopards,27,2281,Guangzhou,Shenyang
Shanxi Loongs,27,797,Jinan,Shenyang
Shenzhen Leopards,27,0,Shenzhen,Shenzhen
Guangdong Southern Tigers,27,62,Dongguan,Shenzhen
Xinjiang Flying Tigers,27,0,Urumqi,Urumqi
Jilin Northeast Tigers,27,3194,Suzhou,Urumqi
Fujian Sturgeons,27,521,Shenzhen,Jinjiang
Ningbo Rockets,27,638,Ningbo,Jinjiang
Guangzhou Loong Lions,27,0,Guangzhou,Guangzhou
Beijing Ducks,27,51,Dongguan,Guangzhou
Shandong Hi-Speed Kirin,27,0,Jinan,Jinan
Qingdao Eagles,27,310,Qingdao,Jinan
Zhejiang Golden Bulls,27,644,Qingdao,Hangzhou
Zhejiang Guangsha Lions,27,0,Hangzhou,Hangzhou
Nanjing Monkey Kings,27,3007,Urumqi,Nanjing
Jiangsu Dragons,27,189,Suzhou,Nanjing
Shanghai Sharks,27,0,Shanghai,Shanghai
Sichuan Blue Whales,27,165,Hangzhou,Shanghai
Tianjin Pioneers,27,976,Shanghai,Tianjin
Beijing Royal Fighters,27,1121,Ningbo,Tianjin
Beijing Royal Fighters,28,103,Tianjin,Beijing
Sichuan Blue Whales,28,1067,Shanghai,Beijing
Nanjing Monkey Kings,28,0,Nanjing,Nanjing
Zhejiang Guangsha Lions,28,237,Hangzhou,Nanjing
Shenzhen Leopards,28,0,Shenzhen,Shenzhen
Ningbo Rockets,28,521,Jinjiang,Shenzhen
Tianjin Pioneers,28,0,Tianjin,Tianjin
Qingdao Eagles,28,301,Jinan,Tianjin
Xinjiang Flying Tigers,28,0,Urumqi,Urumqi
Shanghai Sharks,28,3268,Shanghai,Urumqi
Jiangsu Dragons,28,189,Nanjing,Suzhou
Shanxi Loongs,28,1195,Shenyang,Suzhou
Jilin Northeast Tigers,28,2998,Urumqi,Changchun
Guangzhou Loong Lions,28,2551,Guangzhou,Changchun
Liaoning Flying Leopards,28,0,Shenyang,Shenyang
Zhejiang Golden Bulls,28,1315,Hangzhou,Shenyang
Fujian Sturgeons,28,0,Jinjiang,Jinjiang
Guangdong Southern Tigers,28,521,Shenzhen,Jinjiang
Beijing Ducks,28,1889,Guangzhou,Beijing
Shandong Hi-Speed Kirin,28,365,Jinan,Beijing
Guangdong Southern Tigers,29,526,Jinjiang,Dongguan
Ningbo Rockets,29,62,Shenzhen,Dongguan
Beijing Ducks,29,0,Beijing,Beijing
Qingdao Eagles,29,103,Tianjin,Beijing
Beijing Royal Fighters,29,0,Beijing,Beijing
Shandong Hi-Speed Kirin,29,0,Beijing,Beijing
Guangzhou Loong Lions,29,2551,Changchun,Guangzhou
Shanghai Sharks,29,3284,Urumqi,Guangzhou
Liaoning Flying Leopards,29,0,Shenyang,Shenyang
Nanjing Monkey Kings,29,1159,Nanjing,Shenyang
Shanxi Loongs,29,1036,Suzhou,Taiyuan
Zhejiang Guangsha Lions,29,861,Nanjing,Taiyuan
Tianjin Pioneers,29,0,Tianjin,Tianjin
Sichuan Blue Whales,29,103,Beijing,Tianjin
Xinjiang Flying Tigers,29,0,Urumqi,Urumqi
Shenzhen Leopards,29,3386,Shenzhen,Urumqi
Jiangsu Dragons,29,0,Suzhou,Suzhou
Fujian Sturgeons,29,752,Jinjiang,Suzhou
Jilin Northeast Tigers,29,0,Changchun,Changchun
Zhejiang Golden Bulls,29,272,Shenyang,Changchun
Zhejiang Golden Bulls,30,1573,Changchun,Hangzhou
Fujian Sturgeons,30,121,Suzhou,Hangzhou
Liaoning Flying Leopards,30,0,Shenyang,Shenyang
Sichuan Blue Whales,30,581,Tianjin,Shenyang
Shanghai Sharks,30,1212,Guangzhou,Shanghai
Jilin Northeast Tigers,30,1440,Changchun,Shanghai
Guangzhou Loong Lions,30,0,Guangzhou,Guangzhou
Zhejiang Guangsha Lions,30,1641,Taiyuan,Guangzhou
Jiangsu Dragons,30,0,Suzhou,Suzhou
Beijing Royal Fighters,30,1028,Beijing,Suzhou
Shanxi Loongs,30,0,Taiyuan,Taiyuan
Qingdao Eagles,30,403,Beijing,Taiyuan
Shandong Hi-Speed Kirin,30,365,Beijing,Jinan
Guangdong Southern Tigers,30,1547,Dongguan,Jinan
Beijing Ducks,30,0,Beijing,Beijing
Nanjing Monkey Kings,30,627,Shenyang,Beijing
Xinjiang Flying Tigers,30,0,Urumqi,Urumqi
Shenzhen Leopards,30,0,Urumqi,Urumqi
Ningbo Rockets,30,1086,Dongguan,Ningbo
Tianjin Pioneers,30,1121,Tianjin,Ningbo
Jilin Northeast Tigers,31,1440,Shanghai,Changchun
Sichuan Blue Whales,31,272,Shenyang,Changchun
Liaoning Flying Leopards,31,0,Shenyang,Shenyang
Fujian Sturgeons,31,1315,Hangzhou,Shenyang
Ningbo Rockets,31,0,Ningbo,Ningbo
Shanghai Sharks,31,152,Shanghai,Ningbo
Guangzhou Loong Lions,31,0,Guangzhou,Guangzhou
Beijing Ducks,31,1889,Beijing,Guangzhou
Nanjing Monkey Kings,31,898,Beijing,Nanjing
Beijing Royal Fighters,31,189,Suzhou,Nanjing
Qingdao Eagles,31,724,Taiyuan,Qingdao
Guangdong Southern Tigers,31,310,Jinan,Qingdao
Zhejiang Guangsha Lions,31,1048,Guangzhou,Hangzhou
Shandong Hi-Speed Kirin,31,767,Jinan,Hangzhou
Xinjiang Flying Tigers,31,0,Urumqi,Urumqi
Tianjin Pioneers,31,3362,Ningbo,Urumqi
Shanxi Loongs,31,0,Taiyuan,Taiyuan
Shenzhen Leopards,31,2189,Urumqi,Taiyuan
Zhejiang Golden Bulls,31,0,Hangzhou,Hangzhou
Jiangsu Dragons,31,121,Suzhou,Hangzhou
Fujian Sturgeons,32,1946,Shenyang,Jinjiang
Tianjin Pioneers,32,3509,Urumqi,Jinjiang
Guangzhou Loong Lions,32,0,Guangzhou,Guangzhou
Sichuan Blue Whales,32,2551,Changchun,Guangzhou
Zhejiang Golden Bulls,32,0,Hangzhou,Hangzhou
Beijing Royal Fighters,32,237,Nanjing,Hangzhou
Jilin Northeast Tigers,32,0,Changchun,Changchun
Qingdao Eagles,32,959,Qingdao,Changchun
Liaoning Flying Leopards,32,0,Shenyang,Shenyang
Guangdong Southern Tigers,32,690,Qingdao,Shenyang
Shenzhen Leopards,32,1710,Taiyuan,Shenzhen
Beijing Ducks,32,104,Guangzhou,Shenzhen
Ningbo Rockets,32,0,Ningbo,Ningbo
Zhejiang Guangsha Lions,32,141,Hangzhou,Ningbo
Xinjiang Flying Tigers,32,0,Urumqi,Urumqi
Jiangsu Dragons,32,3228,Hangzhou,Urumqi
Nanjing Monkey Kings,32,0,Nanjing,Nanjing
Shandong Hi-Speed Kirin,32,237,Hangzhou,Nanjing
Shanxi Loongs,32,0,Taiyuan,Taiyuan
Shanghai Sharks,32,1216,Ningbo,Taiyuan
Guangzhou Loong Lions,33,0,Guangzhou,Guangzhou
Tianjin Pioneers,33,568,Jinjiang,Guangzhou
Zhejiang Golden Bulls,33,0,Hangzhou,Hangzhou
Sichuan Blue Whales,33,1048,Guangzhou,Hangzhou
Liaoning Flying Leopards,33,0,Shenyang,Shenyang
Qingdao Eagles,33,272,Changchun,Shenyang
Nanjing Monkey Kings,33,0,Nanjing,Nanjing
Guangdong Southern Tigers,33,1159,Shenyang,Nanjing
Shenzhen Leopards,33,0,Shenzhen,Shenzhen
Shanghai Sharks,33,1710,Taiyuan,Shenzhen
Xinjiang Flying Tigers,33,0,Urumqi,Urumqi
Zhejiang Guangsha Lions,33,3362,Ningbo,Urumqi
Jilin Northeast Tigers,33,0,Changchun,Changchun
Shandong Hi-Speed Kirin,33,1426,Nanjing,Changchun
Fujian Sturgeons,33,0,Jinjiang,Jinjiang
Beijing Royal Fighters,33,631,Hangzhou,Jinjiang
Jiangsu Dragons,33,3194,Urumqi,Suzhou
Beijing Ducks,33,1168,Shenzhen,Suzhou
Shanxi Loongs,33,0,Taiyuan,Taiyuan
Ningbo Rockets,33,1216,Ningbo,Taiyuan
Jilin Northeast Tigers,34,0,Changchun,Changchun
Guangdong Southern Tigers,34,1426,Nanjing,Changchun
Jiangsu Dragons,34,0,Suzhou,Suzhou
Tianjin Pioneers,34,1161,Guangzhou,Suzhou
Shenzhen Leopards,34,0,Shenzhen,Shenzhen
Shanxi Loongs,34,1710,Taiyuan,Shenzhen
Xinjiang Flying Tigers,34,0,Urumqi,Urumqi
Sichuan Blue Whales,34,3228,Hangzhou,Urumqi
Ningbo Rockets,34,1216,Taiyuan,Ningbo
Qingdao Eagles,34,1338,Shenyang,Ningbo
Guangzhou Loong Lions,34,0,Guangzhou,Guangzhou
Nanjing Monkey Kings,34,1132,Nanjing,Guangzhou
Liaoning Flying Leopards,34,0,Shenyang,Shenyang
Shandong Hi-Speed Kirin,34,272,Changchun,Shenyang
Zhejiang Golden Bulls,34,0,Hangzhou,Hangzhou
Beijing Ducks,34,121,Suzhou,Hangzhou
Fujian Sturgeons,34,0,Jinjiang,Jinjiang
Shanghai Sharks,34,521,Shenzhen,Jinjiang
Zhejiang Guangsha Lions,34,3228,Urumqi,Hangzhou
Beijing Royal Fighters,34,631,Jinjiang,Hangzhou
Shenzhen Leopards,35,0,Shenzhen,Shenzhen
Tianjin Pioneers,35,1168,Suzhou,Shenzhen
Ningbo Rockets,35,0,Ningbo,Ningbo
Xinjiang Flying Tigers,35,3362,Urumqi,Ningbo
Beijing Royal Fighters,35,1123,Hangzhou,Beijing
Zhejiang Golden Bulls,35,1123,Hangzhou,Beijing
Fujian Sturgeons,35,0,Jinjiang,Jinjiang
Qingdao Eagles,35,638,Ningbo,Jinjiang
Guangzhou Loong Lions,35,0,Guangzhou,Guangzhou
Shanxi Loongs,35,104,Shenzhen,Guangzhou
Jilin Northeast Tigers,35,0,Changchun,Changchun
Beijing Ducks,35,1573,Hangzhou,Changchun
Liaoning Flying Leopards,35,0,Shenyang,Shenyang
Nanjing Monkey Kings,35,2281,Guangzhou,Shenyang
Shanghai Sharks,35,772,Jinjiang,Shanghai
Guangdong Southern Tigers,35,1440,Changchun,Shanghai
Sichuan Blue Whales,35,2065,Urumqi,Chengdu
Shandong Hi-Speed Kirin,35,2132,Shenyang,Chengdu
Zhejiang Guangsha Lions,35,0,Hangzhou,Hangzhou
Jiangsu Dragons,35,121,Suzhou,Hangzhou
Shenzhen Leopards,36,0,Shenzhen,Shenzhen
Jiangsu Dragons,36,1052,Hangzhou,Shenzhen
Ningbo Rockets,36,0,Ningbo,Ningbo
Fujian Sturgeons,36,638,Jinjiang,Ningbo
Jilin Northeast Tigers,36,0,Changchun,Changchun
Liaoning Flying Leopards,36,272,Shenyang,Changchun
Beijing Ducks,36,856,Changchun,Beijing
Zhejiang Golden Bulls,36,0,Beijing,Beijing
Xinjiang Flying Tigers,36,3362,Ningbo,Urumqi
Shandong Hi-Speed Kirin,36,2065,Chengdu,Urumqi
Beijing Royal Fighters,36,0,Beijing,Beijing
Nanjing Monkey Kings,36,627,Shenyang,Beijing
Guangzhou Loong Lions,36,0,Guangzhou,Guangzhou
Qingdao Eagles,36,568,Jinjiang,Guangzhou
Zhejiang Guangsha Lions,36,0,Hangzhou,Hangzhou
Tianjin Pioneers,36,1052,Shenzhen,Hangzhou
Sichuan Blue Whales,36,0,Chengdu,Chengdu
Guangdong Southern Tigers,36,1661,Shanghai,Chengdu
Shanghai Sharks,36,0,Shanghai,Shanghai
Shanxi Loongs,36,1212,Guangzhou,Shanghai
Zhejiang Guangsha Lions,37,0,Hangzhou,Hangzhou
Shanxi Loongs,37,165,Shanghai,Hangzhou
Beijing Royal Fighters,37,0,Beijing,Beijing
Shandong Hi-Speed Kirin,37,2411,Urumqi,Beijing
Shenzhen Leopards,37,0,Shenzhen,Shenzhen
Qingdao Eagles,37,104,Guangzhou,Shenzhen
Sichuan Blue Whales,37,0,Chengdu,Chengdu
Guangzhou Loong Lions,37,1231,Guangzhou,Chengdu
Xinjiang Flying Tigers,37,0,Urumqi,Urumqi
Fujian Sturgeons,37,3362,Ningbo,Urumqi
Guangdong Southern Tigers,37,1275,Chengdu,Dongguan
Nanjing Monkey Kings,37,1894,Beijing,Dongguan
Shanghai Sharks,37,0,Shanghai,Shanghai
Jilin Northeast Tigers,37,1440,Changchun,Shanghai
Liaoning Flying Leopards,37,272,Changchun,Shenyang
Tianjin Pioneers,37,1315,Hangzhou,Shenyang
Ningbo Rockets,37,0,Ningbo,Ningbo
Zhejiang Golden Bulls,37,1210,Beijing,Ningbo
Beijing Ducks,37,0,Beijing,Beijing
Jiangsu Dragons,37,1943,Shenzhen,Beijing
Jilin Northeast Tigers,38,1440,Shanghai,Changchun
Ningbo Rockets,38,1587,Ningbo,Changchun
Liaoning Flying Leopards,38,0,Shenyang,Shenyang
Beijing Royal Fighters,38,627,Beijing,Shenyang
Shandong Hi-Speed Kirin,38,365,Beijing,Jinan
Shenzhen Leopards,38,1594,Shenzhen,Jinan
Sichuan Blue Whales,38,0,Chengdu,Chengdu
Beijing Ducks,38,1525,Beijing,Chengdu
Guangzhou Loong Lions,38,1231,Chengdu,Guangzhou
Guangdong Southern Tigers,38,51,Dongguan,Guangzhou
Nanjing Monkey Kings,38,1121,Dongguan,Nanjing
Shanxi Loongs,38,237,Hangzhou,Nanjing
Tianjin Pioneers,38,581,Shenyang,Tianjin
Jiangsu Dragons,38,103,Beijing,Tianjin
Zhejiang Guangsha Lions,38,0,Hangzhou,Hangzhou
Fujian Sturgeons,38,3228,Urumqi,Hangzhou
Xinjiang Flying Tigers,38,0,Urumqi,Urumqi
Qingdao Eagles,38,3386,Shenzhen,Urumqi
Zhejiang Golden Bulls,38,141,Ningbo,Hangzhou
Shanghai Sharks,38,165,Shanghai,Hangzhou
Jilin Northeast Tigers,39,0,Changchun,Changchun
Shenzhen Leopards,39,1064,Jinan,Changchun
Shanxi Loongs,39,861,Nanjing,Taiyuan
Shanghai Sharks,39,1097,Hangzhou,Taiyuan
Fujian Sturgeons,39,631,Hangzhou,Jinjiang
Liaoning Flying Leopards,39,1946,Shenyang,Jinjiang
Nanjing Monkey Kings,39,0,Nanjing,Nanjing
Beijing Ducks,39,1408,Chengdu,Nanjing
Shandong Hi-Speed Kirin,39,0,Jinan,Jinan
Tianjin Pioneers,39,301,Tianjin,Jinan
Zhejiang Golden Bulls,39,0,Hangzhou,Hangzhou
Guangzhou Loong Lions,39,1048,Guangzhou,Hangzhou
Xinjiang Flying Tigers,39,0,Urumqi,Urumqi
Ningbo Rockets,39,2998,Changchun,Urumqi
Guangdong Southern Tigers,39,51,Guangzhou,Dongguan
Sichuan Blue Whales,39,1275,Chengdu,Dongguan
Beijing Royal Fighters,39,627,Shenyang,Beijing
Qingdao Eagles,39,2411,Urumqi,Beijing
Jiangsu Dragons,39,941,Tianjin,Suzhou
Zhejiang Guangsha Lions,39,121,Hangzhou,Suzhou
Jilin Northeast Tigers,40,0,Changchun,Changchun
Sichuan Blue Whales,40,2544,Dongguan,Changchun
Beijing Ducks,40,898,Nanjing,Beijing
Guangzhou Loong Lions,40,1123,Hangzhou,Beijing
Zhejiang Golden Bulls,40,0,Hangzhou,Hangzhou
Liaoning Flying Leopards,40,631,Jinjiang,Hangzhou
Beijing Royal Fighters,40,0,Beijing,Beijing
Shenzhen Leopards,40,856,Changchun,Beijing
Guangdong Southern Tigers,40,0,Dongguan,Dongguan
Zhejiang Guangsha Lions,40,1141,Suzhou,Dongguan
Nanjing Monkey Kings,40,0,Nanjing,Nanjing
Jiangsu Dragons,40,189,Suzhou,Nanjing
Xinjiang Flying Tigers,40,0,Urumqi,Urumqi
Shanxi Loongs,40,2189,Taiyuan,Urumqi
Shandong Hi-Speed Kirin,40,0,Jinan,Jinan
Ningbo Rockets,40,2603,Urumqi,Jinan
Qingdao Eagles,40,551,Beijing,Qingdao
Fujian Sturgeons,40,1267,Jinjiang,Qingdao
Tianjin Pioneers,40,301,Jinan,Tianjin
Shanghai Sharks,40,449,Taiyuan,Tianjin
Guangdong Southern Tigers,41,0,Dongguan,Dongguan
Jiangsu Dragons,41,1121,Nanjing,Dongguan
Jilin Northeast Tigers,41,0,Changchun,Changchun
Shanghai Sharks,41,828,Tianjin,Changchun
Beijing Royal Fighters,41,0,Beijing,Beijing
Guangzhou Loong Lions,41,0,Beijing,Beijing
Qingdao Eagles,41,0,Qingdao,Qingdao
Tianjin Pioneers,41,451,Tianjin,Qingdao
Shandong Hi-Speed Kirin,41,0,Jinan,Jinan
Fujian Sturgeons,41,310,Qingdao,Jinan
Sichuan Blue Whales,41,2378,Changchun,Chengdu
Shanxi Loongs,41,2065,Urumqi,Chengdu
Nanjing Monkey Kings,41,0,Nanjing,Nanjing
Ningbo Rockets,41,536,Jinan,Nanjing
Shenzhen Leopards,41,1943,Beijing,Shenzhen
Zhejiang Guangsha Lions,41,62,Dongguan,Shenzhen
Xinjiang Flying Tigers,41,0,Urumqi,Urumqi
Liaoning Flying Leopards,41,3228,Hangzhou,Urumqi
Beijing Ducks,41,0,Beijing,Beijing
Zhejiang Golden Bulls,41,1123,Hangzhou,Beijing
Jilin Northeast Tigers,42,0,Changchun,Changchun
Zhejiang Guangsha Lions,42,2582,Shenzhen,Changchun
Beijing Ducks,42,0,Beijing,Beijing
Fujian Sturgeons,42,365,Jinan,Beijing
Liaoning Flying Leopards,42,2907,Urumqi,Shenyang
Jiangsu Dragons,42,2274,Dongguan,Shenyang
Qingdao Eagles,42,0,Qingdao,Qingdao
Guangzhou Loong Lions,42,551,Beijing,Qingdao
Sichuan Blue Whales,42,0,Chengdu,Chengdu
Shanxi Loongs,42,0,Chengdu,Chengdu
Guangdong Southern Tigers,42,0,Dongguan,Dongguan
Shanghai Sharks,42,2544,Changchun,Dongguan
Xinjiang Flying Tigers,42,0,Urumqi,Urumqi
Zhejiang Golden Bulls,42,2411,Beijing,Urumqi
Beijing Royal Fighters,42,0,Beijing,Beijing
Ningbo Rockets,42,898,Nanjing,Beijing
Shandong Hi-Speed Kirin,42,0,Jinan,Jinan
Tianjin Pioneers,42,310,Qingdao,Jinan
Shenzhen Leopards,42,0,Shenzhen,Shenzhen
Nanjing Monkey Kings,42,1157,Nanjing,Shenzhen
