Round,Home Team,Away Team
30,Xinjiang Flying Tigers,Shenzhen Leopards
30,Ningbo Rockets,Tianjin Pioneers
31,Jilin Northeast Tigers,Sichuan Blue Whales
31,Liaoning Flying Leopards,Fujian Sturgeons
31,Ningbo Rockets,Shanghai Sharks
31,Guangzhou Loong Lions,Beijing Ducks
31,Nanjing Monkey Kings,Beijing Royal Fighters
31,Qingdao Eagles,Guangdong Southern Tigers
31,Zhejiang Guangsha Lions,Shandong Hi-Speed Kirin
31,Xinjiang Flying Tigers,Tianjin Pioneers
31,Shanxi Loongs,Shenzhen Leopards
31,Zhejiang Golden Bulls,Jiangsu Dragons
32,Fujian Sturgeons,Tianjin Pioneers
32,Guangzhou Loong Lions,Sichuan Blue Whales
32,Zhejiang Golden Bulls,Beijing Royal Fighters
32,Jilin Northeast Tigers,Qingdao Eagles
32,Liaoning Flying Leopards,Guangdong Southern Tigers
32,Shenzhen Leopards,Beijing Ducks
32,Ningbo Rockets,Zhejiang Guangsha Lions
32,Xinjiang Flying Tigers,Jiangsu Dragons
32,Nanjing Monkey Kings,Shandong Hi-Speed Kirin
32,Shanxi Loongs,Shanghai Sharks
33,Guangzhou Loong Lions,Tianjin Pioneers
33,Zhejiang Golden Bulls,Sichuan Blue Whales
33,Liaoning Flying Leopards,Qingdao Eagles
33,Nanjing Monkey Kings,Guangdong Southern Tigers
33,Shenzhen Leopards,Shanghai Sharks
33,Xinjiang Flying Tigers,Zhejiang Guangsha Lions
33,Jilin Northeast Tigers,Shandong Hi-Speed Kirin
33,Fujian Sturgeons,Beijing Royal Fighters
33,Jiangsu Dragons,Beijing Ducks
33,Shanxi Loongs,Ningbo Rockets
34,Jilin Northeast Tigers,Guangdong Southern Tigers
34,Jiangsu Dragons,Tianjin Pioneers
34,Shenzhen Leopards,Shanxi Loongs
34,Xinjiang Flying Tigers,Sichuan Blue Whales
34,Ningbo Rockets,Qingdao Eagles
34,Guangzhou Loong Lions,Nanjing Monkey Kings
34,Liaoning Flying Leopards,Shandong Hi-Speed Kirin
